Date,Time,SO4,NO3,NH4,OC,EC,CHL,Total,place
20180312,D,4.942748092,7.422766053,2.895823978,9.994965161,2.367228591,0.487876066,30.65395095,豐原
20180312,N,5.532297997,5.993923025,2.842673869,9.062332283,2.081175146,0.214494711,29.20072661,豐原
20180313,D,6.473672367,12.23829883,4.788478848,11.0371435,2.417660004,0.27610261,40.91734787,豐原
20180313,N,6.421123596,6.590786517,3.718651685,9.02379946,1.94682554,0.155730337,30.06357856,豐原
20180314,D,6.172778403,8.300787402,3.954780652,11.26508322,2.921551957,0.336782902,37.46594005,豐原
20180314,N,6.28018018,8.345495495,4.031981982,10.96323073,1.99809481,0.181306306,39.28247048,豐原
20180315,D,5.413684447,3.775827144,2.43889264,8.439321501,2.155839137,0.196939005,27.92915531,豐原
20180315,N,,,,,,,,豐原
20180316,D,5.608539326,2.115505618,2.164044944,8.613680431,1.733240575,0.08494382,20.86363636,豐原
20180316,N,5.044044944,2.021573034,2.049662921,4.050591144,1.315126995,0.213033708,17.4386921,豐原
20180317,D,3.703845289,2.060490218,1.440071959,6.430828829,2.082112613,0.269395098,18.80108992,豐原
20180317,N,4.894133513,5.157788267,2.661272196,7.797832623,1.785362351,0.402337604,27.92915531,豐原
20180318,D,7.690042706,5.877500562,3.730501236,9.885311166,1.814059762,1.604405484,32.63636364,豐原
20180318,N,7.185467594,2.879793676,2.715407042,7.044330638,1.734797844,0.209688271,27.11171662,豐原
20180319,D,10.77607914,6.612634892,4.408723022,8.68960396,2.159234923,0.229991007,35.5,豐原
20180319,N,,,,,,,,豐原
20180320,D,,,,,,,,豐原
20180320,N,,,,,,,,豐原
20180321,D,3.293931875,0.705391383,1.189262351,5.40295045,1.686774775,0.076246334,12.04545455,豐原
20180321,N,2.863297992,1.03879991,0.977667494,4.382969314,1.029733755,0.088653282,12.21616712,豐原
20180322,D,3.121868653,0.888287068,1.15098172,6.374733273,1.6135217,0.078086211,16.21253406,豐原
20180322,N,3.990532011,1.487601443,1.625338142,7.229645998,1.556748591,0.077998197,21.07175295,豐原
20180323,D,4.357368184,0.848355115,1.34114466,6.647664563,1.582777277,0.097566471,25.70390554,豐原
20180323,N,4.302524797,1.179666366,1.481965735,6.567045301,1.582420554,0.050495942,22.57039055,豐原
20180324,D,5.787960467,2.265947889,1.958221024,9.153283884,1.920085412,0.08737646,24.70481381,豐原
20180324,N,6.234857014,1.716280117,2.208961946,6.13676795,1.632959712,0.115064175,25.88555858,豐原
20180325,D,7.355840648,3.30452397,2.829394553,7.977435666,1.716997743,0.17083052,33.15168029,豐原
20180325,N,13.15121512,8.553555356,6.5,7.631167079,1.999892062,0.432493249,46.27611262,豐原
20180326,D,10.60125871,6.510002248,4.887839964,7.192346344,1.837460745,0.296695887,38.41961853,豐原
20180326,N,8.450213531,2.773881771,3.118678355,6.16727027,1.554995495,0.239379636,29.38237965,豐原
20180327,D,11.45899798,1.96764772,4.023814873,5.807444169,1.874220618,0.156594024,30.56312443,豐原
20180327,N,8.60723108,1.520997081,2.852234449,4.15767034,0.947317293,0.129800135,26.20345141,豐原
20180328,D,8.948862356,1.393106556,2.719756702,5.249544635,1.767434626,0.1462041,24.04545455,豐原
20180328,N,8.271319569,4.148114901,3.751570916,7.23645154,1.947263324,0.230475763,28.56494096,豐原
20180329,D,11.69524024,6.897811866,5.613579968,7.001196581,1.63185785,0.464245432,37.51135332,豐原
20180329,N,10.27448338,8.637241689,5.672731357,6.442674157,2.314103371,0.415768194,39.91825613,豐原
20180330,D,7.371331828,2.334311512,2.378555305,7.808367899,1.978471596,0.175620767,23.31818182,豐原
20180330,N,4.655460289,3.038808664,1.978790614,6.722872531,1.391844704,0.216380866,21.16257947,豐原
20180331,D,7.978814514,2.08767185,2.61843588,7.906756757,1.713130631,0.199459094,29.5640327,豐原
20180331,N,9.523959505,2.212823397,3.250843645,6.306939142,1.550455872,0.301912261,29.51861944,豐原
20180312,D,NA,NA,NA,6.552071669,1.703538634,NA,29.04545455,沙鹿
