date,local_time_sec
20180312,1520852977.9
20180312,1520853574.9
20180317,1521248953.0
20180317,1521249759.4
20180317,1521274143.7
20180317,1521279915.9
20180319,1521418740.0
20180319,1521420516.9
20180319,1521442287.3
20180319,1521447831.9
20180320,1521503296.0
20180320,1521503739.7
20180320,1521523095.6
20180320,1521527818.9
20180322,1521690491.0
20180322,1521692289.3
20180322,1521700412.7
20180322,1521711090.9
20180324,1521853232.0
20180324,1521855075.4
20180324,1521882076.9
20180324,1521885147.9
20180326,1522023869.0
20180326,1522025707.2
20180326,1522053152.0
20180326,1522056367.9
20180328,1522194792.0
20180328,1522195438.0
20180328,1522216718.5
20180328,1522225955.9
20180330,1522368184.0
20180330,1522369404.7
20180330,1522398773.9
20180330,1522401958.9
20180403,1522715125.0
20180403,1522716941.4
20180403,1522723884.6
20180403,1522736736.9
20180404,1522801635.0
20180404,1522802458.6
20180404,1522830671.2
20180404,1522833886.9
20180407,1523062950.0
20180407,1523067196.0
